,sentences,Actual,Predicted
0,_deal,deal,ok
1,_need( _hats 1 ),i need to have the hat,1 hat for me
2,_no,no it's not,no deal
3,_need( _books 1 _hats all ),so the hats and a book for me?,all the hats and one book
4,_need( _books all ) _offer( _hats all _balls 1),"im a reader, so id like the books.... you may have the hats and ball","books to me, you get the hats and one ball"
5,_need( _books 1 _hats 2 ),i'll take the book and two hats then?,book and 2 hats for me
6,_need( _hats 1 _balls 2),i need 2 balls and a hat,2 balls and 1 hat for me
7,_need( _books 1 ),i need the book or it's no deal.,i can have the book?
8,_nodeal,alright no deal,no deal
9,_offer( _hats 1 _balls 1),you can have one ball 1 hat,1 hat and 1 ball
10,_no _need( _books 1 ),no deal i am keeping the book,no i need the book
11,_deal,okay,sounds good
12,_yes _need( _hats 1 ) _offer( _books all _balls all),ok i want the hat and you can have the rest,"alright, you can have the hat. i'll take the books and the balls"
13,_need( _hats 1 ) _offer( _books all _balls all),"i'll take the hat, you can have the rest.",all the books and the balls
14,_need( _books 2 _hats 1 _balls all),"i would like the balls, hat and 2 books",2 books 1 hat and balls for me
15,_need( _books all _balls all) _offer( _hats all ),"you did not suggest hat and ball. you suggested i take the ball, that makes you unreasonable so dont be a hypocrite. you can have only the hats at this point","balls and books for me, you get all the hats"
16,_need( _books 1 _hats all ) _offer( _books rest _balls all),i can take the hats and one book and you can have the res,book and hats to you
17,_deal,deal.,ok
18,_yes,yes. deal?,ok
19,_need( _books 1 _hats 1 ) _offer( _balls all),"i'll take the book and hat, you can have the balls","book and hat to me, you get the balls"
20,_need( _books 1 _hats 1 _balls 1),i would like 1 of each,1 ball and a hat for me
21,_deal,"okay, it's a deal.",ok
22,_need( _hats all ) _offer( _books all _balls all),i need the hats you can have everything else,all books and balls for you?
23,_nodeal,no deal,no deal
24,_need( _books all _hats all ) _offer( _balls all),i'll take books and hat if you want the balls,"all books and hats to me, you can have the balls"
25,_greeting,hello,hello
26,_deal,deal!,ok
27,_deal,ok deal,ok
28,_need( _books 1 _balls 2),i'll take two balls and the book.,book and 2 balls for me
29,_need( _books 1 _hats 1 _balls 1),"okay, i'll take the hat, one ball and one book?",1 book and 1 ball for me
30,_deal,deal,ok
31,_counteroffer _need( _hats 1 ),"sorry, i won<unk> t make a deal without a hat",i'll take the hat
32,_need( _hats all _balls 1),i need the hats and the ball,balls and hats for me
33,_nodeal,no deal,no deal
34,_nodeal,no deal,no deal
35,_deal,okay,deal
36,_deal,okay thank you.,ok
37,_deal,okay.,deal
38,_yes _need( _hats 2 ),"fine, i get both hats",sure i can't have 2 hats
39,_need( _books all _hats all ) _offer( _balls all),take all the balls i keep everything else,"all hats and books to me, you can have the balls"
40,_need( _hats 1 ),"can i keep a hat at least, its cold",and i can have the hat
41,_deal,deal,deal
42,_need( rest) _offer( _hats 1 ),could you just take the hat and give me the rest?,all i want is the hat and you can have the rest
43,_greeting _need( _hats 1? _balls 2),"hi, i would like 2 balls and 1 hat.",alright i'd like the hat and 2 balls
44,_need( _balls 1) _offer( _books 1 ),can i have 1 ball and give you a book for it?,"ball for me, you can have 1 book"
45,_deal,deal,deal
46,_deal,sounds like a deal!,deal
47,_need( rest) _offer( _balls 3),"so 3 balls for you, the rest to me?","3 balls to you, rest to me"
48,_need( _hats 1 _balls 2),hat and two balls for me,i'll take the ball and 1 hat
49,_need( _balls 2) _offer( rest),"i'd like to have 2 balls, please. you can have the rest",2 balls and i can have the rest
50,_need( _books 1 _hats 1 _balls 1),"can i have the the book, one hat and one ball",ball and hat for me
51,_need( _hats 1 _balls 2),i would like hat and 2 balls,2 balls and 1 hat for me
52,_deal,"ok, deal",ok
53,_need( _hats 1 _balls 2) _offer( _books all ),you can take all the books but i would like 2 balls at least and one hat,2 balls and 1 hat to me
54,_need( _books 1 _hats 1 ),can i have the book and the hat?,book and hat for me
55,_deal,deal.,deal
56,_need( _books all _hats 1 ),i need the books and the hat,book and 1 hat for me
57,_deal,deal,ok
58,_deal,deal.,ok
59,_need( rest) _offer( _books 1 _hats 1 ),"back to where we started. you can have a book and a hat, i'll take the rest.",book and hat for you
60,_misc( _books 1 ),book,1 book
61,_deal,yes.,ok
62,_nodeal _need( _balls 1),ball is 9 for me. no deal.,no deal.
63,_nodeal,no deal,no deal
64,_nodeal,nope,no deal
65,_deal,yes,ok
66,_deal,agreed,deal
67,_deal,yup,ok
68,_deal,ok,ok
69,_deal,awesome!,ok
70,_deal,ok deal,ok
71,_deal,sounds good.,deal
72,_nodeal,no deal,no deal
73,_nodeal,no deal,no deal
74,_misc( _hats 2 _balls 2),2 balls and 2 hats,2 hats 2 balls
75,_deal,"ok, deal.",deal
76,_deal,thank you.,ok
77,_deal,okay deal,deal
78,_deal,ok,deal
79,_deal,ok deal,deal.
80,_deal,deal.,ok
81,_deal,deal,deal
82,_need( _hats all _balls 1),bet i take the hats and the ball,all hats and 1 ball
83,_deal,deal,ok
84,_deal,deal.,deal
85,_deal,deal,deal
86,_misc( _books 2 _hats 1 ),"1 hat, 2 books",book and one hat
87,_deal,okay,deal.
88,_deal,deal.,deal
89,_deal,deal,deal
90,_deal,yes,deal
91,_deal _thanks,thank you,thx
92,_deal,thank you.,deal
93,_deal,deal,deal
94,_nodeal,no way,no deal
95,_deal,deal.,deal
96,_offer( _hats 1 _balls 1),best deal is you can have the ball and 1 hat,1 hat and 1 ball for you
97,_misc( _books 1 ),book is ten for you?,book
98,_misc( _books 1 _hats all _balls 1),book and hats 1 ball,1 book and 1 ball
99,_nodeal,no deal,no deal
100,_deal,deal,deal.
101,_deal,yes,ok
102,_deal,okay deal.,ok
103,_need( _hats 1 _balls 2) _offer( _books 3 ),any chance you'd take three books and i could have the hat and two balls?,"2 balls and 1 hat for you, 3 books for me"
104,_nodeal,agreed. no deal.,no deal
105,_misc( _books 1 _balls 1),and 1 book along with 1 ball?,1 book and 1 ball
106,_nodeal,no can do,no deal
107,_deal,deal,ok
108,_nodeal,no deal.,no deal
109,_nodeal,no deal,no deal
110,_misc( _books 2 _balls 1),"2 books, one ball",1 ball and 2 books
111,_misc( _hats 1 _balls 1),ball and one hat,1 hat and 1 ball
112,_deal,deal.,okay deal
113,_nodeal,no,no deal
114,_nodeal,nope,no deal
115,_deal,deal,deal
116,_deal,deal,ok
117,_deal,okay great! thank you!,deal
118,_deal,ok,deal
119,_nodeal,no deal,no deal
120,_deal,deal,deal
121,_nodeal,"yup, no deal was agreed",no deal
122,_deal,deal,deal
123,_deal,ok,deal
124,_need( _balls 1),ball or no deal,i can have the ball
125,_deal,sure,deal
126,_deal,ok,deal
127,_deal,deal,ok
128,_deal,deal.,ok
129,_nodeal,no can do,no deal
130,_deal,yes,ok
131,_nodeal,no deal,no deal
132,_deal,okay,deal.
133,_deal,okay deal.,deal
134,_deal,deal,deal
135,_need( _balls 2) _offer( rest),"2 balls to me, rest for you","2 balls for me, rest for you"
136,_deal,okay.,deal
137,_deal,deal,deal
138,_deal,okay deal,ok
139,_deal _thanks,thanks,thank you
140,_deal,ok,deal
141,_nodeal,no deal,no deal
142,_nodeal,no deal,no deal
143,_nodeal,no deal,no deal
144,_deal,deal.,deal
145,_nodeal,lol no,no deal
146,_misc( _books 2 _balls 1),2 books and a ball?,2 books and one ball
147,_deal _thanks,thx,thanks!
148,_deal,okay deal,deal
149,_deal,ok,deal
150,_deal,deal,okay deal
151,_deal,"ok, deal.",ok
152,_nodeal,no deal,no deal
153,_deal,deal!,deal
154,_need( _balls 1),ball to me then,i'll take the ball
155,_deal,ok deal,deal
156,_need( _books 1 _balls 1),book and ball to me,book and 1 ball for me
157,_nodeal,no deal,no deal
158,_need( _balls 1),ball is needed,ball for me
159,_deal,deal,ok
160,_deal,deal,deal
161,_deal,deal,ok
162,_deal,okay great! thank you!,deal
163,_deal,ok deal,deal.
164,_deal,alrighty sounds good.,deal
165,_deal,yes,ok
166,_deal,deal,ok
167,_deal,yes,ok
168,_deal,okay great! thank you!,deal
169,_deal,cool,deal
170,_need( _books all _hats 1 ),books and hat for me,book and 1 hat for me
171,_deal _thanks,appreciate it! deal!,thanks
172,_deal,deal,ok
173,_deal,ok deal,deal
174,_deal,deal,ok
175,_misc( _books 1 _hats 2 ),1 book 2 hats,book and two hats
176,_misc( _balls 2),2 balls,2 balls
177,_nodeal,ok no deal,no deal
178,_deal,deal,ok
179,_deal,okay great! thank you!,ok
180,_need( _books all _balls all),all balls and books to me,balls and books for me
181,_nodeal,no deal,no deal
182,_nodeal,no deal,no deal
183,_deal,deal,deal
184,_deal,deal,ok
185,_deal,deal,deal
186,_deal,great!,ok
187,_deal,ok,deal
188,_nodeal,no deal.,no deal
189,_need( _books 1 _balls 1),book and ball to me,ball and 1 book for me
190,_deal,great,ok
191,_deal,deal.,ok
192,_need( _balls 1),ball is the highest value item. ; the only way i can get rid of the ball is for everything else on the table.,ball to me
193,_nodeal,no deal,no deal
194,_nodeal,no deal,no deal
195,_deal,deal,ok
196,_deal,deal,ok
197,_nodeal,no deal,no deal
198,_deal,deal,deal
199,_deal,deal,deal
200,_nodeal,no,no deal
201,_deal,deal.,ok
202,_deal,deal,deal
203,_deal,yes,ok
204,_deal,deal.,deal
205,_yes _need( _books all ),alright. i'll keep the books.,yes i'll take the books
206,_deal _thanks,thanks,thanks
207,_deal,deal,ok
208,_deal,deal.,deal.
209,_deal,ok,ok
210,_deal,deal,deal
211,_nodeal,no deal,no deal
212,_deal,okay,deal
213,_deal,okay,ok
214,_deal,deal,deal
215,_misc( _books all _balls 1),all the books and a ball.,all books and 1 ball
216,_nodeal,i can't do that,no deal
217,_deal,deal.,deal
218,_deal,okay deal.,deal
219,_nodeal,no deal,no deal
220,_deal,yes,ok
221,_deal,deal,ok
222,_deal,deal.,deal
223,_deal,deal,deal
224,_deal,deal.,deal
225,_deal,deal,deal
226,_nodeal,no deal,no deal
227,_deal,deal,deal
228,_nodeal,no way,no deal
229,_deal,ok,deal
230,_deal,ok deal.,deal
231,_deal,okay deal,deal
232,_deal,ok,ok
233,_deal,ok,ok
234,_deal,ok,deal
235,_misc( _hats 1 _balls 1),1 hat and 1 ball.,1 ball and one hat
236,_misc( _books 0 _hats 1 _balls 1),"1 hat, 1 ball, no book, extra butter",book 0 hats and one ball
237,_misc( _books 2 _hats 1 _balls 1),"1 hat, 1 ball, 2 books and a stick of butter",2 books 1 hat and 1 ball
238,_deal,yes,ok
239,_nodeal,no deal,no deal
240,_nodeal,no deal,nope
241,_offer( _books 1 _hats all ),1 book and all hats for you,book and hats to you
242,_deal,ok deal,deal
243,_deal,deal.,deal
244,_deal,deal.,deal
245,_deal,fine,deal
246,_deal,okay deal,deal
247,_deal,deal.,deal
248,_nodeal,no deal,no deal
249,_deal,deal,deal
250,_need( _balls all) _offer( _books rest _hats rest ),"all balls to me, you have rest","balls are worthless to me, and you get the rest"
251,_deal,ok deal,deal
252,_nodeal,no deal,no deal
253,_deal,sounds good,ok
254,_deal _thanks,thanks,thank you
255,_deal,deal,ok deal
256,_deal,ok,ok
257,_deal,sounds good,ok
258,_deal,agreed,ok
259,_deal,yes,ok
260,_deal,deal.,deal
261,_nodeal,no deal,no deal
262,_yes _need( _hats all ),alright then.. i suppose i'll take the hats.,all hats for me
263,_need( _books 2 _hats 1 ),2 books and a hat for me?,2 books and one hat for me
264,_deal,deal.,okay
265,_nodeal,no deal,no deal
266,_need( _hats 2 _balls 0) _offer( rest),balls are worthless. i'll just take the 2 hats and you can have the rest.,balls and two hats for me?
267,_deal,ok,deal
268,_deal,thank you!,ok
269,_deal,ok,deal
270,_deal,okay deal,ok
271,_deal,deal.,deal
272,_nodeal,agree to 0 s,no deal
273,_deal,ok deal,ok
274,_deal,deal,deal
275,_deal,ok,deal.
276,_deal,yes,deal
277,_deal,deal,deal
278,_deal,okay great! thank you!,deal
279,_deal,deal,ok
280,_deal,deal.,deal
281,_nodeal,no deal,no deal
282,_nodeal,no deal.,no deal
283,_deal,deal.,ok
284,_nodeal,no deal then,no deal
285,_need( _books all _balls 1) _offer( rest),"ball and books to me, rest to you","ball and books for me, rest for you"
286,_deal,deal.,ok
287,_nodeal,no deal,no deal
288,_need( _books 0 _hats 1 _balls 2),"book has no value to me at all, i assume it'll give you minimal points. i'd be ok with two balls and the hat?",2 balls and a hat for me
289,_nodeal,no deal then,no deal
290,_need( _books all _balls all),books and both balls to me,books and balls for me
291,_deal,fine,ok
292,_deal,okay deal.,deal
293,_deal,deal,ok
294,_deal _thanks,thank you,thanks
295,_deal,okay,ok
296,_deal,okay.,ok
297,_deal,ok deal,deal
298,_deal,sure,deal
299,_nodeal,no deal,no deal
300,_deal,deal,deal
301,_nodeal,no deal.,no deal
302,_need( _books 1 _balls all),book and balls for me,book and balls for me
303,_misc( _hats all _balls all),balls and all hats,balls and hats
304,_offer( _hats 3 _balls all),balls and 3 hats for you,3 hats and balls to you
305,_deal,ok,deal
306,_need( _balls 0),balls have 0 value on my end,balls are 0 for me
307,_need( _hats all ),"books are 1 each, hats are 3 each, ball is 2. what about you?",all hats for me
308,_deal,ok,deal
309,_deal,great,deal
310,_nodeal,"alas, no deal",no deal
311,_no,: /,no deal
312,_nodeal,no deal,no deal
313,_deal,okay great! thank you!,ok
314,_offer( _balls all),all balls for you only,all the balls to you
315,_nodeal,agree. no deal,no deal
316,_nodeal,no deal,no deal
317,_deal,deal.,deal
318,_deal,okay,yes
319,_deal,ok deal,deal
320,_need( _hats 1 _balls 1),1 ball and 1 hat for me!,ball and hat for me
321,_deal,okay deal.,ok
322,_deal,okay thank you!,ok
323,_nodeal,no deal,no deal
324,_nodeal,no deal,no deal
325,_nodeal,no deal,no deal
326,_nodeal,agreed with the no deal.,no deal
327,_need( _balls 1),are you sure you cant come off the ball?,ball to me
328,_nodeal,nd,no deal
329,_nodeal,no deal,no deal
330,_deal,okay thank you!,deal
331,_need( _balls 1),and you don't want anything else? can you give up one of the balls?,ball for me
332,_deal,deal,ok
333,_misc( _hats 1 ),and one hat,1 hat
334,_deal,ok,deal
335,_misc( _balls 1),basketball,ball
336,_need( _hats all ) _offer( rest),"all hats to me, everything else to you","all hats to me, rest to you"
337,_deal,deal,deal
338,_deal,"ok, thanks",ok
339,_deal,yes,deal
340,_deal,deal,deal
341,_deal,okay great!,ok
342,_nodeal,nope,no deal
343,_deal,okay deal.,ok
344,_deal,deal,ok
345,_deal,deal,deal
346,_nodeal,no deal,no deal
347,_nodeal,no deal.,no deal
348,_deal,deal,deal
349,_need( _books 1 ) _offer( _books 1 ),and we split the books?,i'll take the book
350,_need( _books 1 _balls 1) _offer( _books 2 _hats 1 ),"2 books and the hat to you, one book and the ball to me?",1 hat and 1 book for me?
351,_nodeal,no deal then,no deal
352,_deal,deal,deal
353,_deal,"ok, deal",deal
354,_deal,ok,deal
355,_deal,thank you!,deal
356,_deal,okay deal,ok
357,_deal,deal,deal
358,_deal,ok,ok
359,_deal,deal.,deal
360,_deal,ok,ok
361,_nodeal,no,no deal
362,_nodeal,no deal,no deal
363,_deal,sure,deal
364,_deal,deal,ok
365,_nodeal,never,no deal
366,_deal,great!,deal
367,_deal,deal,ok
368,_deal,sure,ok
369,_deal,agreed,ok
370,_deal,yup,deal
371,_nodeal,no deal then,no deal
372,_greeting,hi,hi
373,_deal,ok,deal
374,_deal,yes,deal
375,_deal,deal.,ok
376,_deal,ok deal,deal
377,_deal _thanks,thank you,thank you
378,_deal,deal,deal
379,_nodeal,no deal,no deal
380,_nodeal,no deal,no deal
381,_deal,"ok, thanks",ok
382,_deal,ok,okay
383,_need( _hats 1 ) _offer( _books 1 ),"and so would i, ill give up the book if i get the hat","i would like the hat, and you can have the book"
384,_nodeal,no deal,no deal
385,_nodeal,nope,no deal
386,_deal,deal.,deal.
387,_deal,ok deal,deal
388,_nodeal,no deal,no deal
389,_deal,okay,deal
390,_deal,deal.,deal
391,_deal,deal,ok
392,_need( _balls 1),ball must be mine,ball and i can have the ball.
393,_deal,ok deal,ok
394,_nodeal,no,no deal
395,_nodeal,no deal,no deal
396,_nodeal,no deal,no deal
397,_deal,yes,ok
398,_need( _books 0 _hats 1 _balls 1),books are 0 for me. i can 1 hat and 1 ball or just 2 balls.,book 0 hat and 1 ball for me
399,_deal,agreed.,deal.
400,_deal,deal.,ok
401,_need( _books 2 _balls 2),2 balls and 2 books please,2 books and 2 balls for me
402,_nodeal,agreed no deal.,no deal
403,_nodeal,no deal,no deal
404,_nodeal,no deal,no deal
405,_deal,sounds good,ok
406,_nodeal,no deal,no deal
407,_deal,ok,deal.
408,_deal,deal,deal
409,_deal,deal,ok
410,_deal,yes,deal
411,_deal,deal,deal
412,_nodeal,no deal then,no deal
413,_need( _books all _balls all) _offer( _hats 1 ),alright i will take all the balls and the books. you can just have the hat.,"balls and books for me, you can have the hat"
414,_deal,yes,deal
415,_deal,okay deal.,deal
416,_deal,ok deal,deal
417,_deal,ok,ok
418,_deal,ok deal,deal
419,_deal,deal.,deal
420,_deal,yes,ok
421,_deal,deal,deal
422,_deal,great! thank you!,ok
423,_deal,deal,deal
424,_deal,ok deal,ok
425,_deal,ok,okay
426,_deal,ok,deal
427,_nodeal,no deal,no deal
428,_deal,ok,deal
429,_deal,ok,deal
430,_nodeal,no deal,no deal
431,_deal,deal,okay deal
432,_nodeal,no deal,no deal
433,_deal,deal,deal
434,_nodeal,no deal,no deal
435,_offer( _hats 1 _balls 2),2 balls and that is the most i can do,2 balls 1 hat
436,_deal,ok deal,ok
437,_need( _books 2 _balls 1),a ball and two books is what i need. nothing less.,2 books and one ball for me
438,_deal,ok,deal
439,_deal,ok deal,deal
440,_deal,deal.,ok
441,_nodeal,balls are 4 points for me. no deal.,no deal
442,_need( _balls 1),and i need 1 ball,balls are worthless to me.
443,_deal,deal,ok
444,_deal,great,ok
445,_deal _thanks,thanks,thanks
446,_deal,thank you.,ok
447,_need( _hats 2 _balls 1),any chance i can get 2 hats and the ball?,ball and 2 hats for me
448,_deal,"alright, i'll settle for that deal.",ok
449,_deal,i can do that,deal
450,_nodeal,no deal,no deal
451,_deal,great,deal
452,_nodeal,no deal,no deal
453,_need( _books 1 _hats 1 ),book and one hat to me,books and hats for me
454,_deal,ok,deal
455,_deal,deal,deal
456,_deal,yep,deal
457,_nodeal,no,no deal
458,_nodeal,no deal,no deal
459,_deal,sounds good,ok
460,_deal,yup,ok
461,_nodeal,nope,no deal
462,_deal,ok,okay
463,_deal,ok,deal
464,_nodeal,no deal.,no deal
465,_deal,ok,okay
466,_deal,deal,deal
467,_deal,fine,deal
468,_deal,deal,deal
469,_nodeal,no,no deal
470,_deal,deal,ok
471,_deal,deal,deal
472,_deal,yes,deal
473,_offer( _books 0 _hats 1 ),are you willing to take one of the hats instead of the book?,book and one hat for you
474,_deal,ok deal,deal
475,_deal,deal.,deal
476,_deal,great,deal
477,_deal,ok deal,deal
478,_deal _thanks,"alright deal, thank you.",thanks
479,_nodeal,no deal,no deal
480,_deal,deal,deal
481,_deal,sounds good,deal
482,_deal,ok,deal
483,_deal _thanks,thanks!,thx
484,_nodeal,no deal,no deal
485,_deal _thanks,deal. thank you!,thank you
486,_deal,deal,ok
487,_deal,deal.,ok
488,_nodeal,no deal,no deal
489,_deal,deal,ok
490,_nodeal,balls are 1 point for me. no deal.,no deal
491,_misc( _books 1 _balls 4),4 balls 1 book thats it,book and 4 balls
492,_deal,okay deal,deal
493,_nodeal,no,no deal
494,_nodeal,no deal.,no deal
495,_deal,deal,ok
496,_nodeal,sorry no deal,no deal
497,_nodeal,no deal,no deal
498,_nodeal,"ok, no deal",no deal.
499,_nodeal,no deal,no deal
500,_deal,ok,ok
501,_deal,yes,ok
502,_deal,deal,deal
503,_deal,deal.,deal
504,_deal,okay deal.,ok
505,_misc( _books 2 _hats 1 ),2 books and 1 hat,2 books and one hat
506,_deal,deal,deal
507,_deal,deal,ok
508,_deal,sounds good,deal
509,_offer( _books 1 _hats 1 ),1 book and 1 hat is all i can give you,book and hat for you
510,_deal,deal.,ok
511,_deal,yes,ok
512,_deal _thanks,thanks,thx
513,_deal,yes,ok
514,_deal,yes,deal
515,_deal,yes,deal
516,_deal _thanks,thx,thanks
517,_nodeal,no deal.,no deal
518,_deal,sure,ok
519,_deal,deal,deal
520,_deal,deal,ok
521,_deal,yes,deal
522,_deal,deal,deal
523,_nodeal,no can do,no deal
524,_deal,deal,deal
525,_nodeal,nd,no deal
526,_deal,deal.,deal
527,_deal,deal,deal
528,_misc( _hats all _balls 1),ball and all the hats,all hats and ball
529,_nodeal,no deal,no deal
530,_deal,ok,deal
531,_deal,deal.,deal
532,_need( _books 1 ),all i need is the book,i would like the book
533,_deal,ok,deal
534,_deal,okay deal,deal
535,_misc( _books 1 _balls 2),2 balls and the book.,2 balls and 1 book
536,_nodeal,no deal,no deal
537,_nodeal,no deal,no deal
538,_nodeal,no deal,no deal
539,_misc( _books 3 _hats 2 _balls 1),3 books 1 ball 2 hats,3 books 2 hats 1 ball
540,_deal,okay,deal
541,_deal,deal,ok
542,_deal,ok,ok
543,_deal,ok,deal
544,_deal,deal.,deal
545,_deal,sure,ok
546,_deal _thanks,thx,thanks
547,_deal,deal,deal.
548,_deal,deal.,ok
549,_deal,agreed,deal
550,_deal,agreed,deal
551,_deal,deal,deal
552,_deal,deal,deal
553,_deal _need( _books 3 ),agreed i will take the three books,3 books to me
554,_deal,deal,deal
555,_deal,deal!,deal
556,_deal,deal,deal
557,_deal _need( _books 2 _hats 1 ),agreed. i get 2 books and a hat.,2 books and 1 hat for me
558,_nodeal,no deal.,no deal
559,_nodeal,okay no deal.,no deal
560,_deal,deal.,deal
561,_deal,deal,deal
562,_deal,deal,deal.
563,_deal,deal.,ok
564,_deal,deal,deal
565,_deal,"ok, thanks",ok
566,_deal,yes,deal
567,_deal,deal,ok
568,_deal,great!,deal.
569,_deal,yes,deal
570,_misc( _books 2 _hats 2 ),2 hats and 2 books?,2 hats and 2 books
571,_deal,deal,deal
572,_deal,deal.,deal
573,_deal,deal.,deal
574,_deal,deal,ok
575,_need( _books 1 _balls all),"are you asking me? yes, i'd like the book and balls.",all i want is the book and balls
576,_offer( _books 1 _balls 1),"book and a ball, thats good for you",1 ball and 1 book
577,_deal,ok deal,deal
578,_nodeal,no deal.,no deal
579,_nodeal,no deal.,no deal
580,_deal,yes.,deal
581,_deal,ok,deal.
582,_nodeal,6 / 10 is a weak hand.... we should pass on this deal,no deal
583,_deal,great!,ok
584,_nodeal,no deal,no deal
585,_deal,fine,ok
586,_deal,deal.,ok
587,_deal,ok,ok
588,_deal,ok,ok
589,_misc( _books 1 _hats 1 ),1 book and 1 hat,book and hat
590,_deal,deal,deal
591,_deal,deal,deal
592,_nodeal,no deal.,no deal
593,_nodeal,no deal.,no deal
594,_deal,deal,ok
595,_deal,awesome!,deal
596,_deal,okay great!,deal
597,_nodeal,no deal,no deal
598,_nodeal,no deal.,no deal
599,_nodeal,no deal.,no deal
600,_deal,deal,ok
601,_nodeal,no deal,no deal
602,_deal,ok,ok
603,_deal,deal,deal.
604,_nodeal,no deal.,no deal
605,_nodeal,no deal,no deal
606,_nodeal,no deal,no deal
607,_deal,sure,ok
608,_deal,okay great! thank you!,deal
609,_deal,sounds good,deal.
610,_deal,deal,deal
611,_deal _thanks,thanks,thanks!
612,_deal,deal.,deal
613,_nodeal,no deal,no deal
614,_deal,okay thank you!,deal
615,_deal,deal,ok
616,_deal,deal,deal
617,_deal,deal,deal
618,_deal,deal.,deal
619,_deal,okay thank you!,deal
620,_deal,sounds good,deal
621,_nodeal,4 / 10 is no deal for me......,no deal
622,_deal,deal,ok
623,_deal,deal,deal
624,_deal,deal,deal
625,_misc( _books 2 _balls 1),1 ball 2 books,1 ball and 2 books?
626,_deal,ok,ok
627,_deal,yes,ok
628,_deal,yes,ok
629,_nodeal,no deal,no deal
630,_deal,ok,deal
631,_deal,ok,ok
632,_deal,deal,deal
633,_deal,okay great! thank you!,deal
634,_deal,deal,ok
635,_greeting,hello,hi
636,_deal,deal,deal
637,_deal,yes,ok
638,_deal,deal,ok
639,_need( _hats 1 _balls 0),"balls are worthless to me, i need a hat",i need the hat and 1 ball
640,_deal,yep,ok
641,_nodeal,no deal.,no deal
642,_nodeal,ok no deal,no deal
643,_nodeal,nope,no deal
644,_deal,deal,deal
645,_deal,deal,deal
646,_deal,yep,deal
647,_misc( _books all _hats 1 ),"books and a hat, work with me here.",book and one hat
648,_deal,sounds good.,deal
649,_nodeal,ok no deal,no deal
650,_deal,deal.,deal
651,_deal,sounds good,ok
652,_nodeal,no deal,no deal
653,_deal,yes,deal.
654,_deal,"alright,",ok
655,_need( _books 2 _balls 1),ball and 2 books for me,2 books and one ball for me
656,_deal,deal.,ok
657,_deal,deal,deal.
658,_deal,okay,ok
659,_deal,deal,ok
660,_deal,ok deal,deal
661,_deal,deal,deal
662,_deal _thanks,thank you,thank you
663,_deal,deal,ok
664,_nodeal,no deal,no deal
665,_nodeal,no deal,no deal
666,_deal,yes,deal
667,_deal,okay,ok
668,_deal,deal,deal.
669,_deal,yes,deal
670,_deal,deal,deal
671,_deal,deal,ok
672,_deal,ok,deal
673,_greeting,hi,hello
674,_need( _books 2 _balls 1),ball and two books,2 books and 1 ball for me.
675,_deal,great!,ok
676,_deal,fine,ok
677,_deal,okay,ok
678,_deal,ok deal,deal
679,_deal _thanks,thank you,thanks
